Id		name		 cate1		 cate2		 ingredient		 recipe
1		시저치킨샐러드		샐러드 		헬스		채소,치킨,크랜베리,방울토마토	       단백질을 원하는 당신 치킨 토핑을 추가해 더 많은 단백질을 얻자! 알바생에게 치킨을 데워달라고 부탁해 보자 맛은 보장해^^
2		콥샐러드		샐러드		가벼운 한끼		채소,달걀,올리브,양파,베이컨,방울토마토		가벼운 한 끼를 원하지만 건강도 생각하는 당신 토마토를 추가해 더욱 건강히 먹자
3		탄단지샐러드	샐러드		헬스			채소,스윗포테이토,치킨,견과류,크랜베리,방울토마토		탄단지를 골고루 먹으려는 당신 달걀과 치킨을 추가해 포만감을 채우자
4		리코타치즈샐러드	샐러드	가벼운 한끼		채소,리코타치즈,토마토,견과류,크랜베리,통밀빵,방울토마토		리코타의 풍미를 아는 당신은 멋쟁이! 리코타 치즈 위에 꿀을 발라 먹어보자 꿀은 안 팔지만…
5		연어샐러드		샐러드	가벼운 한끼		채소,연어,양파,스윗포테이토,방울토마토			연어는 한 번으로 아쉬워.. 연어 추가해서 아쉬움 없이 먹어보자
6		쉬림프샐러드		샐러드	가벼운 한끼		채소,쉬림프,칙피,달걀,옥수수,방울토마토			새우는 누구나 좋아하지만 칙피는… 호불호가 있으니 원하지 않는다면 넣지 말아 달라고 부탁하자
7		칠리베이컨웜볼		웜볼		든든한 한끼		채소,곡물,베이컨,옥수수,달걀,양파플레이크,방울토마토		샐러디의 대표 칼로리메뉴!! 든든하게 곡물 추가 어때?
8		우삼겹웜볼		웜볼		든든한 한끼		채소,곡물,우삼겹,양파,견과류,방울토마토			샐러디의 대표 칼로리메뉴!! 든든하게 곡물 추가 어때?
9		치킨소시지웜볼		웜볼		든든한 한끼		채소,곡물,치킨소시지,달걀,옥수수,방울토마토			샐러디의 대표 칼로리메뉴!! 든든하게 곡물 추가 어때?
10		단호박두부웜볼		웜볼		든든한 한끼		채소,곡물,단호박,두부,칙피,옥수수,방울토마토		마니아층이 두터운, 든든하면서도 건강한 단호박두부! 시원한 토마토 추가 어때?
11 		치킨토마토샌드		샌드		가벼운 간식		귀리번,채소,치킨,토마토,시저소스,크림치즈			가벼운 간식으로 치킨..토마토..라 굉장히 건강을 생각하는군
12		에그베이컨샌드		샌드		가벼운 간식		귀리번,채소,달걀,베이컨,허니머스타드소스,크림치즈		가벼운 간식으로 역시 달달한 에그베이컨샌드지 설마… 샐러디 메뉴라고 다이어트를 바라는 건 아니지..?
13		샬롯연어샌드		샌드		가벼운 간식		귀리번,채소,연어,토마토,양파,샬롯랜치소스,크림치즈		가벼운 간식으로 연어라.. 고급 진 입맛을 가졌군
14		시저치킨랩		랩		가벼운 간식		또띠아,채소,치킨,크랜베리,시저소스		치킨을 사랑하는 사람이라면 치킨 추가 후 뚱뚱한 시저치킨랩을 먹어야지
15		멕시칸랩		랩		가벼운 간식		또띠아,채소,그라운드비프,나쵸칩,크리미칠리소스,사워크림		샐러디에서 가장 잘나가는 고칼로리 메뉴 ^^ 다이어트를 바라고 먹는 건 아니지~?
16		크랜베리그릭랩		랩		가벼운 간식		또띠아,채소,토마토,올리브,크림치즈,견과류,시저소스		건강한 간식을 찾고 있었군 양파를 추가해서 아삭한 식감을 더해봐!!
17		샬롯연어랩		랩		가벼운 간식		또띠아,채소,연어,토마토,양파,샬롯소스			연어는 어디에 넣어먹어도 맛있지! 옥수수를 추가해서 옥수수 특유의 식감을 더해봐
18		칠리베이컨웜랩		웜랩		든든한 간식		또띠아,채소,곡물,베이컨,달걀,양파플레이크,크리미칠리소스		점심으로 먹어도 될 정도로 든든한 웜랩인데 베이컨을 더 추가해 봐
19		우삼겹웜랩		웜랩		든든한 간식		또띠아,채소,곡물,우삼겹,견과류,양파,오리엔탈소스		항상 우삼겹이 부족한 듯한 느낌… 우삼겹을 추가해서 든든히 먹어봐
20		치킨소시지웜랩		웜랩		든든한 간식		또띠아,채소,곡물,치킨소시지,옥수수,달걀,허니머스터드소스		든든한 간식을 찾고 있었구나! 허니머스터드 소스는 달콤하기까지 해 대신 칼로리는.. 흠^^

