id	name	cate1	cate2	ingredient	recipe	image
1	오감자치즈후라이	안주	x	"오감자, 체다치즈, 스트링치즈"	"1. 오감자를 접시에 얹어준다.
2. 체다치즈와 스트링치즈를 찢어서 얹는다.
3. 전자렌지에 1분정도 돌리면 완성!"	https://recipe1.ezmember.co.kr/cache/recipe/2018/01/25/62f2958b28f11ce914b7afb96d07390b1.png	
2	사리곰탕만둣국	국/찌개	x	"사리곰탕, 편의점 고기만두"	"1. 냉동상태의 고기만두를 전자렌지에 돌려 데워준다.
2. 물과 스프를 넣고 사리곰탕을 조리법대로 조리한다.
3. 조리된 사리곰탕에 만두를 넣어주면 완성!"	https://recipe1.ezmember.co.kr/cache/recipe/2018/11/29/9f663704c27802247d1318fd3aa71f0d1.png	
3	요거트 만난지 얼마나 오렌지	음료	x	"드링킹 요거트 플레인, 오렌지쥬스, 얼음컵"	"1. 얼음컵에 오렌지주스와 요거트를 6:4 비율로 부어준다.
2. 휘휘 잘 섞어주면 완성!"	https://scontent-ssn1-1.xx.fbcdn.net/v/t1.6435-9/p600x600/71278286_1325148334311138_3275181750275276800_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=730e14&_nc_ohc=kHr4pEiVDhwAX-39EnO&_nc_ht=scontent-ssn1-1.xx&oh=00_AT-8BRBkHSz2CsMu_VpKZzrrkl4IYqaCfJ7UH8RsGJsSRg&oe=622F7D96	
4	Yummy 라비올리	안주	x	"비비고 왕교자, 모짜렐라치즈, 미트볼"	"1. 만두 봉지의 끄트머리를 살짝 잘라준 뒤 소량의 물을 넣고 전자렌지에 3분간 조리한다.
2. 미트볼은 1분 30초간 전자렌지에 조리한다.
3. 데워진 미트볼은 다른 접시에 옮겨 담은 뒤 잘게 으깨준다.
4. 비어있는 미트볼 용기에 만두를 넣고 으깬 미트볼을 만두 위에 올려준다.
5. 모짜렐라 치즈를 수북이 얹고 전자렌지에 1분 30초간 조리하면 완성!"	https://recipe1.ezmember.co.kr/cache/recipe/2019/07/29/2d63b9a5f45b08e5fe17037ae153120b1.jpg	
5	호치민 막창국수	면	x	"불막창, 베트남 쌀국수(큰컵)"	"1. 불막창을 전자렌지에 3분간 조리한다.
2. 베트남 쌀국수는 조리법대로 조리해준다.
3. 쌀국수에서 면만 건져서 불막창 용기로 옮겨준뒤 비벼주면 완성!"	https://recipe1.ezmember.co.kr/cache/recipe/2019/07/04/b9d0e7f99d56ff200eaf40932e9c80641.jpg	
6	마크정식	면	떡볶이	"편의점 떡볶이, 스파게티 컵라면, 스트링 치즈, 소시지"	"1. 떡볶이를 조리법대로 조리해준다.
2. 스파게티는 면과 건더기만 넣고 뜨거운 물로 익혀준다.
3. 떡볶이에 스파게티 면을 넣고 분말스프, 액상스프를 넣고 섞어준다.
4. 소시지는 먹기 좋은 크기로 잘라서 넣고 스트링치즈도 잘 찢어서 얹어준다.
5. 전자렌지에 1분 30초간 조리하면 완성!"	https://recipe1.ezmember.co.kr/cache/recipe/2018/02/26/96f1cb6338887b694736fe2d488d258c1.png	
7	치치면	면	x	"김치, 컵누들, 참치 통조림, 비빔장"	"1. 용기에 면만 넣고 뜨거운 물에 3분간 조리한다.
2. 얼음컵에 면을 차갑게 헹군 후, 용기에 면을 다시 담는다.
3. 참치 통조림의 기름을 제거하고 김치를 잘게 잘라 준다.
4. 면 위에 김치와 토핑을 올린다.
5. 비빔장을 추가해 비비면 완성!"	https://recipe1.ezmember.co.kr/cache/recipe/2019/07/18/2c5959b53653ee6e40a39dddf52355501.jpg	
8	붉닭 골빔면	면	x	"불닭볶음면 컵라면, 팔도 비빔면 컵라면, 골뱅이"	"1. 불닭볶음면과 팔도 비빔면에 뜨거운 물을 붓는다.
2. 면이 다 익으면 한 컵에 합쳐주고 찬물로 식힌다.
3. 골뱅이와 비빔 소스, 불닭 소스를 넣어주고 비비면 완성!"	https://recipe1.ezmember.co.kr/cache/recipe/2018/05/17/7e4f27849848f6ed993ff8547369c4f31.png	
9	순두부 열라면	면	국/찌개	"열라면 컵라면, 날계란, 연두부"	"1. 열라면에 라면 가루를 넣고 물을 붓는다.
2. 연두부를 숟가락으로 퍼서 넣는다.
3. 계란 1개를 까서 넣고 전자렌지에 3초 돌린다."	http://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[1].jpg	
10	삼각 떡볶이 리조또	떡볶이	리조또	"편의점 떡볶이, 참치마요 삼각김밥, 스트링 치즈, 모짜렐라 치즈, 체다치즈"	"1. 편의점 떡볶이에 소스를 넣고 물을 붓는다.
2. 원하는 삼각김밥을 넣고 비빈다.
3. 체다치즈와 스트링 치즈, 모짜렐라 치즈를 위에 얹고 전자렌지에 돌리면 완성!"	https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/37068/org_resized___3-1.png&convert=jpgmin&rt=600	
