id	name	cate1	cate2	ingredient	recipe	image
11	불닭카레라볶이	면	x	"불닭떡볶이, 카레맛 컵라면, 소시지, 슬라이스 치즈" 	"1. 떡볶이를 조리법대로 조리해준다.
2. 카레맛 컵라면 용기에 스프, 카레소스, 물을 넣고 전자렌지에 2분간 조리한다.
3. 불닭떡볶이에 카레라면을 부어 섞은 후 소세지를 잘라넣는다.
4. 슬라이스 치즈를 올리고 전자렌지에 1분간 돌리면 완성!"	image1.png	
12	막창떡볶이	떡볶이	x	"편의점 떡볶이, 편의점 막창, 모짜렐라 치즈"	"1. 막창은 전자렌지에 2분간 조리한다.
2. 떡볶이를 조리법대로 조리해준다.
3. 데운 막창에 떡볶이를 부어 섞는다.
4. 모짜렐라 치즈를 올리고 전자렌지에 30초씩 2번 돌리면 완성!"	image2.png	
13	불파게티	면	x	"불닭볶음면, 짜파게티범벅"	"1. 불닭볶음면과 짜파게티범벅을 조리법대로 조리한다.
2. 두 컵라면을 섞어주면 완성!"	image3.png	
14	부대찌개 컵라면	면	x	"김치찌개맛 컵라면, 소시지, 두부"	"1. 김치찌개 맛 라면을 조리법대로 조리한다.
2. 소시지를 잘라 넣는다
3. 두부를 잘라 넣는다
4. 라면에 물을 붓고 전자렌지에 3분간 돌리면 완성!"		image4.png
15	초코바나나라떼	음료	x	"얼음컵, 아이스초코, 바나나우유"	"1. 얼음컵에 바나나우유와 아이스초코를 4:6 비율로 부어준다.
2. 휘휘 잘 섞어주면 완성!"	image5.png	
16	코코팜 자몽에이드	음료	x	"얼음컵, 코코팜, 자몽에이드"	"1. 얼음컵에 잘 흔든 코코팜과 자몽에이드를 4:6 비율로 부어준다.
2. 휘휘 잘 섞어주면 완성!"	image6.png	
17	밀키스 레모네이드	음료	x	"얼음컵, 밀키스, 레몬에이드"	"1. 얼음컵에 밀키스와 레몬에이드를 4:6 비율로 부어준다.
2. 휘휘 잘 섞어주면 완성!"	image7.png	
18	사이다 청포도에이드	음료	x	"얼음컵, 사이다, 청포도에이드"	"1. 얼음컵에 사이다와 청포도에이드를 4:6 비율로 부어준다.
2. 휘휘 잘 섞어주면 완성!"	image8.png	
19	딸기수박에이드	음료	x	"얼음컵, 딸기우유, 수박에이드"	"1. 얼음컵에 딸기우유와 수박에이드를 1:1 비율로 부어준다.
2. 휘휘 잘 섞어주면 완성!"	image9.png	
20	모구모구 스파클링	음료	x	"얼음컵, 모구모구, 스파클링 복숭아"	"1. 얼음컵에 잘 흔든 모구모구와 스파클링 복숭아맛을 1:1 비율로 부어준다.
2. 휘휘 잘 섞어주면 완성!"	image10.png	
